Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.9801454138702461,1.0,0.5895953757225434,0.7418181818181818,0.9923647784426866
Logistic Regression,0.9633668903803132,0.5772058823529411,0.9075144508670521,0.7056179775280899,0.9861546850025223
Naive Bayes,0.9435123042505593,0.41899441340782123,0.43352601156069365,0.42613636363636365,0.8410481061423192
